,id,biskvit_id,short_name,address,city,scheduleFl,scheduleJurl,latitude,longitude,vip_zone,vip_office,ramp,person,juridical,prime,broker,ibs
145,29000298,3629,ДО «Домодедовский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Генерала Белова, д. 33А",Москва,пн-пт: 10:00-19:00 сб: 10:00-17:00 вс: выходной,"пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.612273,37.722127,0,0,1,1,1,0,0,1
146,29000288,0101,ДО «Басманный» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Новая Басманная, 37 А",Москва,"пн-пт: 10:00-19:00 сб, вс: выходной","пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.76997,37.669082,1,0,1,1,1,0,1,1
147,29000023,1327,ДО «Долгоруковский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Долгоруковская, д. 40",Москва,пн-пт: 10:00-19:00 сб: 10:00-17:00 вс: выходной,"пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.778735,37.602023,1,0,1,1,1,0,1,0
148,29000146,3429,ДО «Бабушкинский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Менжинского, д. 21",Москва,пн-пт: 10:00-20:00 сб: 10:00-17:00 вс: выходной,"пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.868854,37.667447,0,0,1,1,1,0,0,0
149,29000141,2929,ДО «Савеловский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Бутырская, д. 11",Москва,пн-пт: 10:00-19:00 сб: 10:00-15:00 вс: выходной,"пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.79601,37.583391,1,0,1,1,1,0,1,1
150,29000070,2910,ДО «Улица 1905 года» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, Звенигородское шоссе, д. 18/20, корп. 1",Москва,пн-пт: 10:00-19:00 сб: 10:00-17:00 вс: выходной,"пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.764323,37.556119,1,0,1,1,1,0,1,0
151,29000096,0325,ДО «Верхние Лихоборы» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, Дмитровское ш., д. 64, кор. 1",Москва,пн-пт: 09:00-21:00 сб: 10:00-19:00 вс: выходной,"пн-чт: 09:00-18:00 пт: 09:00-17:00 сб, вс: выходной",55.855361,37.562982,1,0,1,1,1,0,1,0
152,29000187,2303,ДО «На Маршала Бирюзова» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Маршала Бирюзова, д. 8, корп. 1",Москва,пн-пт: 10:00-20:00 сб: 10:00-17:00 вс: выходной,"пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.792189,37.496794,1,0,1,1,1,0,1,0
153,29000082,4510,ДО «Проспект Маршала Жукова» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, просп. Маршала Жукова, д. 48, корп. 1",Москва,"пн-пт: 10:00-19:00 сб, вс: выходной","пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.777793,37.465748,1,0,1,1,1,0,1,0
154,29000133,1829,ДО «Планерный» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Планерная, д. 7, корп. 1",Москва,пн-пт: 10:00-19:00 сб: 10:00-17:00 вс: выходной,"пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.863358,37.433508,0,0,1,1,1,0,0,1
155,29000329,2801,ДО «Ходынский бульвар» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, Ходынский бульвар, д. 2",Москва,"пн-пт: 10:00-19:00 сб, вс: выходной",Не обслуживает ЮЛ,55.789396,37.536832,0,0,1,1,0,0,0,0
156,29000209,5510,ДО «Невский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Адмирала Макарова, д. 6, стр. 13",Москва,"пн-пт: 09:00-20:00 сб, вс: выходной","пн-чт: 09:00-18:00 пт: 09:00-17:00 сб, вс: выходной",55.83566,37.490497,1,0,0,1,1,0,1,0
157,29000297,1025,ДО «Алексеевский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, пр-т Мира, д. 97",Москва,пн-пт: 10:00-20:00 сб: 10:00-17:00 вс: выходной,"пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.809105,37.636338,1,0,1,1,1,0,1,1
